ID,Requirement,Status,Description,Category,Priority,Realisation Phase,Responsibility,Remarks,Note,Reference,Depends,Derived from specification
PLTREQ-001,API-based ingestion,OPEN,Support machine-based data deposit and metadata transfer via REST API,Integration,MUST HAVE,Initial release,NRP infrastructure,NRP API broken in current release. Local patch tested and working; upstream integration uncertain.,"Enables automated, scalable submission directly from instruments and laboratory systems",NRP API docs; local patch (location TBD),PLTREQ-021,Row 4: API-based ingestion + ELN/instrument integration
PLTREQ-002,DOI assignment (DataCite),OPEN,Assign DOI to published Activity records via DataCite integration,Integration,MUST HAVE,Initial release,NRP infrastructure,Wired but untested — requires DataCite sandbox account,Supports reliable citation and long-term referencing,NRP DataCite configuration docs,,Row 5: DOI assignment (DataCite) + PID integration (ePIC/Handle)
PLTREQ-003,Granular PID integration (ePIC/Handle),OPEN,Support ePIC handles or similar persistent identifiers for hierarchical sub-parts of datasets where granular referencing is needed,Integration,MUST HAVE,Roll-out,NRP infrastructure,Discussed but not implemented,Supports granular citation of dataset sub-components,Word of mouth,,Row 5: DOI assignment (DataCite) + PID integration (ePIC/Handle)
PLTREQ-004,Tiered access control,CLOSED 2026.05.28,"Support open, embargoed, restricted, and metadata-only access levels with configurable per-record visibility",Feature,MUST HAVE,Initial release,NRP infrastructure,Built-in — InvenioRDM access model supports open / embargoed / restricted out of the box,Enables sharing of both open and sensitive data; metadata remains publicly visible regardless of file access,InvenioRDM access control docs,,Row 6: Tiered access control
PLTREQ-005,Federated authentication and authorization (AAI),CLOSED 2026.05.28,Federated authentication and role-based authorization with institutional identity and affiliation verification,Integration,MUST HAVE,Initial release,NRP infrastructure,Built-in — NRP integrates with e-INFRA CZ AAI (eduGAIN / ORCID); community-level role-based access control available via InvenioRDM,Ensures secure and controlled access to restricted data,NRP documentation; e-INFRA CZ AAI,,Row 7: Authentication and authorization (AAI)
PLTREQ-006,Metadata export infrastructure,CLOSED 2026.05.28,Platform-level support for serializing and exporting records in standard interchange formats,Metadata,MUST HAVE,Initial release,NRP infrastructure,"Built-in — InvenioRDM/NRP provides DataCite XML, Dublin Core, and JSON-LD export endpoints out of the box",Enables inclusion in external discovery services and aggregators,InvenioRDM metadata export docs,,Row 8: Metadata interoperability (CCMM mapping)
PLTREQ-007,Full-text and field search,CLOSED 2026.05.28,Platform-level full-text search and field-based filtering across all published records,Search,MUST HAVE,Initial release,NRP infrastructure,Built-in — InvenioRDM/NRP provides OpenSearch-backed full-text search and field filtering out of the box,Enables efficient discovery of relevant datasets,InvenioRDM search docs; OpenSearch,,Row 9: Search and filtering
PLTREQ-008,Record detail page and file preview,CLOSED 2026.05.28,Display record metadata and basic file preview on the record landing page before download or access request,Data preview,SHOULD HAVE,Initial release,NRP infrastructure,Built-in — InvenioRDM provides record landing pages with metadata display and file previewer for common formats,Allows users to assess dataset relevance before download or access request,InvenioRDM UI docs,,Row 10: Dataset preview and metadata display
PLTREQ-009,Machine-readable metadata export,CLOSED 2026.05.28,Platform-level export of record metadata in standard machine-readable formats via content negotiation,Metadata,MUST HAVE,Initial release,NRP infrastructure,"Built-in — InvenioRDM supports JSON, DataCite XML, and Dublin Core export via content negotiation on record endpoints",Supports automated processing and reuse of metadata by external systems and aggregators,InvenioRDM serialization docs,PLTREQ-006,Row 12: Machine-readable metadata
PLTREQ-010,Dataset withdrawal handling,CLOSED 2026.05.28,Maintain metadata visibility and persistent identifier resolution after record withdrawal or deletion,Feature,MUST HAVE,Initial release,NRP infrastructure,Built-in — InvenioRDM displays a tombstone page with removal reason when a record is withdrawn; DOI continues to resolve,Preserves citation integrity and transparency,InvenioRDM record tombstone docs,,Row 13: Dataset withdrawal handling
